place,placeLabel,geonames_ids
http://www.wikidata.org/entity/Q31695588,Haast Range,3
http://www.wikidata.org/entity/Q31696469,Gordon Range,3
http://www.wikidata.org/entity/Q31687724,Livingstone Mountains,3
http://www.wikidata.org/entity/Q31706145,Browning Range,3
http://www.wikidata.org/entity/Q31709033,Barrier Range,3
http://www.wikidata.org/entity/Q31689285,Kirkliston Range,3
http://www.wikidata.org/entity/Q31716319,Sherwood Range,3
http://www.wikidata.org/entity/Q31700285,Dunstan Mountains,3
http://www.wikidata.org/entity/Q31718188,Torlesse Range,3
http://www.wikidata.org/entity/Q31701921,Darran Mountains,3
http://www.wikidata.org/entity/Q31702061,Dampier Range,3
http://www.wikidata.org/entity/Q31719977,Amuri Range,3
http://www.wikidata.org/entity/Q32166070,Cook Channel,3
http://www.wikidata.org/entity/Q32166653,Coopers Creek,3
http://www.wikidata.org/entity/Q32121399,Te Whakatūrākau Stream,3
http://www.wikidata.org/entity/Q31727396,Huxley Range,3
http://www.wikidata.org/entity/Q32122556,Awakino River,3
http://www.wikidata.org/entity/Q32123187,Awaroa River,3
http://www.wikidata.org/entity/Q32167853,Countess Stream,3
http://www.wikidata.org/entity/Q32188108,Dunns Creek,3
http://www.wikidata.org/entity/Q32203379,Freeman Burn,3
http://www.wikidata.org/entity/Q32232512,Kaituna River,3
http://www.wikidata.org/entity/Q32225480,Huehue Stream,3
http://www.wikidata.org/entity/Q32225617,Huia Stream,3
http://www.wikidata.org/entity/Q32225748,Huioteko Stream,3
http://www.wikidata.org/entity/Q32233552,Kaniwhaniwha Stream,3
http://www.wikidata.org/entity/Q32220063,Herekino Forest,3
http://www.wikidata.org/entity/Q32220270,Hermitage Swamp,3
http://www.wikidata.org/entity/Q32212273,Great Exhibition Bay,3
http://www.wikidata.org/entity/Q32260846,Mangaorongo Stream,3
http://www.wikidata.org/entity/Q32261382,Mangapapa Stream,3
http://www.wikidata.org/entity/Q32261844,Mangapiko Stream,3
http://www.wikidata.org/entity/Q32231500,Kaikowhiti Stream,3
http://www.wikidata.org/entity/Q32253523,Makino Stream,3
http://www.wikidata.org/entity/Q32281630,Monro Creek,3
http://www.wikidata.org/entity/Q32271520,Matahuru Stream,3
http://www.wikidata.org/entity/Q32255476,Mangaetoroa Stream,3
http://www.wikidata.org/entity/Q32264133,Mangatapu Stream,3
http://www.wikidata.org/entity/Q32264440,Mangatawa Stream,3
http://www.wikidata.org/entity/Q32283840,Motukaroro Island,3
http://www.wikidata.org/entity/Q32256517,Mangaio Stream,3
http://www.wikidata.org/entity/Q32265189,Mangatiti Stream,3
http://www.wikidata.org/entity/Q32273694,Matukituki River West Branch,3
http://www.wikidata.org/entity/Q32273868,Mauku Stream,3
http://www.wikidata.org/entity/Q32257322,Mangakino Stream,3
http://www.wikidata.org/entity/Q32266105,Mangatutu Stream,3
http://www.wikidata.org/entity/Q32259541,Manganuiowae Stream,3
http://www.wikidata.org/entity/Q32259627,Mangaohae Stream,3
